City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
422,San Carlos De Bariloche,AR,74.95,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
423,Macenta,GN,71.69,broken clouds,8.5435,-9.471,Hôtel Yansané
425,Eatonton,US,81.68,clear sky,33.3268,-83.3885,Western Motel of Eatonton
430,Kavaratti,IN,82.02,scattered clouds,10.5669,72.642,Green leaf
433,Gainesville,US,80.67,few clouds,29.6516,-82.3248,Stayable Select
439,Puerto Del Rosario,ES,71.35,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
441,Santona,ES,70.11,overcast clouds,43.4439,-3.4576,Playamar
443,Abeche,TD,80.47,few clouds,13.8292,20.8324,Assaleh Hamdan Haroune
446,Lufilufi,WS,83.98,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort
447,Diamantino,BR,90.37,clear sky,-14.4086,-56.4461,Hotel Delta
449,Bandarbeyla,SO,79.03,few clouds,9.4942,50.8122,JABIR HOTEL
451,Giyani,ZA,71.67,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
453,Nouadhibou,MR,69.78,broken clouds,20.931,-17.0347,El Medina
456,Finschhafen,PG,80.42,heavy intensity rain,-6.6024,147.8681,Oasis Gagidu Ltd
458,Colac,AU,68.83,few clouds,-38.3333,143.5833,Otway Gate Motel
459,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Base Lodging
461,Morondava,MG,80.13,clear sky,-20.2833,44.2833,La Case Bambou
465,Victoria,HK,73.33,overcast clouds,22.2855,114.1577,Mini Central
466,Pajapan,MX,80.2,clear sky,18.25,-94.7,Hotel Del Carmen
470,Coracao De Jesus,BR,77.29,overcast clouds,-16.6853,-44.365,Hotel Neves
471,Port Moresby,PG,77.63,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
473,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
474,Santa Catarina De Tepehuanes,MX,77.65,few clouds,25.35,-105.7333,hotel plaza
482,San Cristobal,VE,77.18,light rain,7.7669,-72.225,Pirineos
485,Biltine,TD,80.1,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
493,Hoi An,VN,76.96,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
497,Manggar,ID,76.87,overcast clouds,-2.8833,108.2667,Guest Hotel
498,Kampong Chhnang,KH,75.56,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
500,Maues,BR,82.69,overcast clouds,-3.3836,-57.7186,Hotel Miramar
501,Mahibadhoo,MV,79.66,overcast clouds,3.7833,72.9667,Omadhoo Inn
502,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
505,Tomatlan,MX,86.49,clear sky,19.9333,-105.25,El Salvial
508,Mandera,KE,85.42,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
510,Bartica,GY,78.78,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
511,Quatre Cocos,MU,74.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
513,Bulolo,PG,73.08,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
514,Yanam,IN,72.43,broken clouds,16.7333,82.2167,The Regency Hotel
516,Chirongui,YT,78.73,clear sky,-12.9319,45.1483,La Villa Mahatsara
517,Manjeshwar,IN,77.95,clear sky,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
522,Viedma,AR,83.16,overcast clouds,-40.8135,-62.9967,Hotel Cristal
525,Lakatoro,VU,82.31,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
528,Mangrol,IN,75.9,clear sky,21.1167,70.1167,Hotel The Royal Honours
532,Mecca,SA,76.69,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
533,Pringsewu,ID,73.6,overcast clouds,-5.3582,104.9744,Urban Style by Front One
535,Jiwani,PK,79.68,clear sky,25.05,61.7417,Hooth Market
542,Fomboni,KM,78.46,clear sky,-12.28,43.7425,Auberge les abou
543,Bambanglipuro,ID,75.85,overcast clouds,-7.95,110.2833,Puri Brata
546,Buraydah,SA,70.25,clear sky,26.326,43.975,Mövenpick Qassim
549,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
