City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
42,Abha,18.2164,42.5053,64.22,88,0,9.22,SA,clear sky,2022-11-08 20:27:51
43,Mahebourg,-20.4081,57.7,74.25,78,40,8.05,MU,scattered clouds,2022-11-08 20:27:51
44,Vaini,-21.2,-175.2,78.96,69,40,10.36,TO,scattered clouds,2022-11-08 20:27:52
45,Salta,-24.7859,-65.4117,82.99,24,29,13.8,AR,smoke,2022-11-08 20:27:52
46,Pulaski,34.7668,-92.3001,78.15,60,20,1.99,US,few clouds,2022-11-08 20:27:53
47,Svetlogorsk,52.6333,29.7333,45.37,90,88,7.61,BY,overcast clouds,2022-11-08 20:27:53
48,Tuatapere,-46.1333,167.6833,57.56,72,100,3.53,NZ,overcast clouds,2022-11-08 20:27:54
49,Provideniya,64.3833,-173.3,29.01,94,100,13.65,RU,light snow,2022-11-08 20:28:54
50,Ilulissat,69.2167,-51.1,-11.4,80,7,6.67,GL,clear sky,2022-11-08 20:28:55
51,Yumen,40.2833,97.2,38.71,34,0,7.4,CN,clear sky,2022-11-08 20:28:55
52,Lewisville,33.0462,-96.9942,81.16,76,75,11.5,US,broken clouds,2022-11-08 20:23:57
53,Bluff,-46.6,168.3333,54.01,79,100,13.65,NZ,overcast clouds,2022-11-08 20:28:56
54,Chokurdakh,70.6333,147.9167,-4.09,99,99,8.68,RU,overcast clouds,2022-11-08 20:24:16
55,Kambam,5.2505,96.8629,78.12,82,100,3.11,ID,moderate rain,2022-11-08 20:28:57
56,Sokode,8.9833,1.1333,78.82,48,58,3.29,TG,broken clouds,2022-11-08 20:28:57
57,Panuco,22.05,-98.1667,84.38,51,17,4.38,MX,few clouds,2022-11-08 20:28:58
58,Fort Nelson,58.8053,-122.7002,-6.21,71,20,0.0,CA,few clouds,2022-11-08 20:28:58
59,Eyl,7.9803,49.8164,78.49,72,0,8.55,SO,clear sky,2022-11-08 20:28:59
60,Kantang,7.4054,99.5156,75.25,93,93,3.69,TH,overcast clouds,2022-11-08 20:28:59
61,Hermanus,-34.4187,19.2345,60.8,79,98,9.26,ZA,overcast clouds,2022-11-08 20:29:00
62,Hithadhoo,-0.6,73.0833,81.16,79,100,16.17,MV,overcast clouds,2022-11-08 20:29:00
63,Dondo,-19.6094,34.7431,75.67,87,91,6.26,MZ,overcast clouds,2022-11-08 20:29:01
64,Atuona,-9.8,-139.0333,76.71,70,98,13.09,PF,overcast clouds,2022-11-08 20:29:01
65,Harper,4.375,-7.7169,78.55,84,33,7.54,LR,scattered clouds,2022-11-08 20:29:02
66,Kapaa,22.0752,-159.319,80.92,82,20,20.71,US,heavy intensity rain,2022-11-08 20:29:02
67,Salalah,17.0151,54.0924,78.89,73,20,4.61,OM,few clouds,2022-11-08 20:29:03
68,Evensk,61.95,159.2333,21.56,89,100,3.89,RU,snow,2022-11-08 20:29:03
69,Lorengau,-2.0226,147.2712,81.21,78,99,5.12,PG,overcast clouds,2022-11-08 20:29:04
70,Manokwari,-0.8667,134.0833,78.22,81,98,3.6,ID,overcast clouds,2022-11-08 20:29:04
